City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,14.07,74,100,2.68,AU,1724698581
1,kodiak,57.79,-152.4072,9.73,76,40,0.0,US,1724698279
2,tazacorte,28.629,-17.9293,26.19,81,75,6.17,ES,1724698358
3,puerto natales,-51.7236,-72.4875,9.25,57,75,13.38,CL,1724698475
4,adamstown,-25.066,-130.1015,18.27,76,100,8.74,PN,1724698269
5,ambovombe,-25.1667,46.0833,20.67,67,0,2.04,MG,1724698586
6,flying fish cove,-10.4217,105.6791,24.82,83,75,5.66,CX,1724698588
7,anadyr,64.75,177.4833,3.28,93,20,5.0,RU,1724698589
8,mahavelona,-17.6848,49.5087,20.64,83,97,3.42,MG,1724698590
9,ilulissat,69.2167,-51.1,6.01,87,75,3.09,GL,1724698418
10,waitangi,-43.9535,-176.5597,8.79,97,100,3.13,NZ,1724698592
11,san patricio,28.017,-97.5169,32.97,45,100,6.17,US,1724698593
12,shingu,33.7333,135.9833,25.97,92,100,2.03,JP,1724698594
13,padang,-0.9492,100.3543,23.03,93,100,2.13,ID,1724698414
14,ayr,55.4627,-4.6339,15.99,77,40,4.63,GB,1724698597
15,changji,44.0167,87.3167,24.44,46,0,1.0,CN,1724698598
16,waldbuttelbrunn,49.7883,9.8467,16.36,61,0,0.72,DE,1724698599
17,happy valley-goose bay,53.3168,-60.3315,30.17,35,75,4.12,CA,1724698324
18,puerto ayora,-0.7393,-90.3518,21.42,88,64,3.58,EC,1724698601
19,la passe,45.5549,-0.8967,20.2,52,47,4.41,FR,1724698602
20,port mathurin,-19.6833,63.4167,21.07,59,0,12.8,MU,1724698513
21,iaciara,-14.0958,-46.6317,35.05,15,37,1.87,BR,1724698604
22,bilibino,68.0546,166.4372,7.69,66,100,1.22,RU,1724698606
23,wailua homesteads,22.0669,-159.378,25.44,79,100,9.77,US,1724698607
24,grytviken,-54.2811,-36.5092,2.32,82,72,3.58,GS,1724698608
25,usinsk,65.9939,57.5281,14.02,69,100,5.29,RU,1724698609
26,finote selam,10.7,37.2667,15.69,99,100,0.76,ET,1724698610
27,palikir - national government center,6.9248,158.1611,24.41,100,75,0.0,FM,1724698443
28,ust-nera,64.5667,143.2,10.04,86,100,3.11,RU,1724698612
29,edinburgh of the seven seas,-37.0676,-12.3116,9.81,63,22,9.18,SH,1724698613
30,bredasdorp,-34.5322,20.0403,12.38,89,100,7.01,ZA,1724698615
31,praia da vitoria,38.7333,-27.0667,29.14,61,20,4.3,PT,1724698616
32,yerofey pavlovich,53.9667,121.9667,10.6,85,100,1.15,RU,1724698617
33,valparaiso,-33.0393,-71.6273,19.13,36,0,6.17,CL,1724698425
34,tsiombe,-25.3,45.4833,20.26,68,0,1.13,MG,1724698619
35,banda aceh,5.5577,95.3222,25.34,82,100,4.94,ID,1724698341
36,salinopolis,-0.6136,-47.3561,28.82,72,88,4.28,BR,1724698621
37,sumbe,-11.2061,13.8437,20.5,88,1,3.38,AO,1724698622
38,henderson,36.0397,-114.9819,33.79,13,0,5.14,US,1724698364
39,paramonga,-10.6667,-77.8333,19.62,77,81,5.19,PE,1724698625
40,bela vista,-22.1089,-56.5211,25.11,12,0,2.54,BR,1724698626
41,yellowknife,62.456,-114.3525,17.45,63,100,8.23,CA,1724698627
42,dudinka,69.4058,86.1778,13.08,79,100,0.81,RU,1724698628
43,ribeira grande,38.5167,-28.7,27.22,83,40,6.69,PT,1724698629
44,isafjordur,66.0755,-23.124,10.02,66,0,1.54,IS,1724698630
45,fale old settlement,-9.3852,-171.2468,28.15,73,100,5.97,TK,1724698631
46,georgetown,5.4112,100.3354,25.97,78,20,0.51,MY,1724698438
47,atherton,53.5237,-2.4935,18.49,71,100,2.48,GB,1724698573
48,enewetak,11.3474,162.3373,28.93,79,7,8.53,MH,1724698542
49,coron,11.9986,120.2043,25.81,91,86,2.83,PH,1724698483
50,north bay,46.3168,-79.4663,28.3,57,40,3.09,CA,1724698380
51,polyarnyy,69.1989,33.4478,14.95,59,100,10.94,RU,1724698638
52,pontes e lacerda,-15.2261,-59.3353,29.6,19,0,2.19,BR,1724698398
53,cidreira,-30.1811,-50.2056,14.64,65,0,5.73,BR,1724698640
54,vorgashor,67.5833,63.95,11.61,86,100,4.01,RU,1724698427
55,genhe,50.7833,121.5167,9.53,96,14,0.34,CN,1724698644
56,amos,48.5669,-78.1162,28.76,37,37,4.15,CA,1724698432
57,remire-montjoly,4.9167,-52.2667,33.02,55,0,4.12,GF,1724698646
58,kuacjok,8.3002,27.9903,22.76,92,100,0.53,SS,1724698647
59,yuzhno-kurilsk,44.0306,145.8556,18.66,99,100,2.45,RU,1724698648
60,qaqortoq,60.7167,-46.0333,8.14,72,5,1.75,GL,1724698649
61,homer,59.6425,-151.5483,12.65,91,0,1.54,US,1724698651
62,carnarvon,-24.8667,113.6333,18.65,77,6,6.47,AU,1724698652
63,kone,-21.0595,164.8658,20.6,73,66,2.62,NC,1724698653
64,richards bay,-28.783,32.0377,25.26,39,0,4.02,ZA,1724698654
65,weno,7.4515,151.8468,26.97,89,75,2.06,FM,1724698655
66,stanley,54.868,-1.6985,15.29,76,40,2.06,GB,1724698271
67,whakatane,-37.9585,176.9854,11.07,95,100,0.06,NZ,1724698657
68,port-aux-francais,-49.35,70.2167,2.75,73,2,12.87,TF,1724698273
69,kristiansund,63.1115,7.732,12.29,87,75,7.2,NO,1724698660
70,sedro-woolley,48.5039,-122.2361,19.56,86,20,0.0,US,1724698661
71,papatowai,-46.5619,169.4708,5.61,95,80,3.25,NZ,1724698418
